,Date de publication,Intitulé du poste,Compétences,Lieu,Salaire minimum,Salaire maximum,Type de contrat,Nom de la société,Poste,Poste_class,Niveau
40,2023-01-08,Digital Analyst eCommerce (H/F),"digital, outils, e-commerce, marketing, internet",massy,,,CDI,carrefour,Data analyst,Data,Analyst
41,2022-12-24,DATA QUALITY COORDINATION MANAGER-(H/F),"data quality, big data, devops, flex, decisionnel",fontenay-sous-bois,,,CDI,societe generale,Data manager,Data,Managment
42,2023-01-13,Ingénieur Cybersécurité H/F,"sécurité, securité, blockchain, devops, design",paris,,,CDI,cap fi technology,Cyber,Net,Ingénieur
43,2022-12-29,Business analyst (Data) - Client final (Private Equity)  - CDI - 50/80K€ - 75,"recette, si, big data, intelligence artificielle",paris,50000.0,80000.0,CDI,mr search,Data analyst,Data,Analyst
44,2023-01-13,ADJOINT AU RESPONSABLE DES SOLUTIONS BUSINESS INTELLIGENCE - H/F,"sap, sas, informatica, business intelligence, microsoft",noisiel,,,CDI,banque de france,Business intelligence,Business,Managment
45,2022-12-25,Consultant Cognos F/H,"cognos, etl, ibm, framework, outils",île-de-france,,,CDI,trimane,Business intelligence,Business,Expert
46,2022-12-24,Chief Data Scientist-(H/F),"python, framework, tensorflow, agile, intelligence artificielle",la-defense,,,CDI,societe generale,Data scientist,Data,Scientist
47,2023-01-06,Data Science Engineer - Danone IS/IT,"big data, java, data management, support, javascript",saint-ouen,,,CDI,danone,Data ingenier,Data,Ingénieur
48,2022-12-24,Analyste Fonctionnel BI Microsoft (H/F),"microsoft, outils, sql server, sql, securité",île-de-france,,,CDI,engie,Business analyst,Business,Analyst
49,2022-12-31,Stage - Chargé de projet data référentiel clients-(H/F),"si, data management, digital",colombes,,,CDI,societe generale,Data other,Data,Managment
50,2022-12-16,DATA MANAGER H/F,sas,levallois-perret,,,CDI,uti,Data manager,Data,Managment
51,2022-12-31,Expert Data Protection & Data Privacy Management,"data management, si, securité, outils, sécurité",hauts-de-seine,,,CDI,societe generale,Data manager,Data,Expert
52,2022-12-26,Expert Data Protection & Data Privacy Management-(H/F),"data management, si, securité, outils, big data",la-defense,,,CDI,societe generale,Data manager,Data,Expert
53,2022-12-25,Chef de projet Data,agile,paris,30000.0,60000.0,CDI,nexton consulting,Chef de projet data,Data,Managment
54,2022-12-26,Responsable Protection des Données Personnelles pour le Data Office Groupe-(H/F),"data management, si, securité, outils, big data",la-defense,,,CDI,societe generale,DPO,Data,Managment
55,2022-12-18,2016-433 - Data Engineer H/F,"marketing, hadoop, crm, java, python",paris,,,CDI,seloger,Data ingenier,Data,Ingénieur
56,2022-12-26,Data Scientist – STAGE 6 mois,"vba, système",courbevoie,,,CDI,engie,Data scientist,Data,Scientist
57,2022-12-24,Stagiaire ingénieur de test (H/F),"test, big data, recette, outils, communication",massy,,,Stage,carrefour,Developpement test,Génie informatique,Ingénieur
58,2022-12-22,Architecte logiciel (H/F),"si, web, salesforce, infrastructure, cloud",levallois-perret,,,CDI,edifixio,Developpement logiciel,Génie informatique,Architecte
59,2022-12-16,Chef de Projet Web Analyses F/H,"web, recette, digital, marketing, data management",boulogne-billancourt,,,CDI,federation francaise de tennis,Developpement web,Génie informatique,Managment
60,2022-12-25,Data Analyst - Publicité,"sql, t-sql, outils",paris,,,CDI,sept lieues,Data analyst,Data,Analyst
61,2022-12-16,Data analyst - H/F,"support, outils, agile, design, big data",paris,,,CDI,edf france,Data analyst,Data,Analyst
62,2022-12-19,Customer Data Analyst (H/F),"crm, data quality, sql, sas, python",paris,,,CDI,hermes,Data analyst,Data,Analyst
63,2022-12-25,Master Data Analyst H/F,"si, support, sap",moussy,,,CDI,tereos,Data analyst,Data,Analyst
64,2023-01-12,Portfolio Data Analyst H/F,"outils, support, decisionnel, sql, test",île-de-france,,,CDI,safran,Data analyst,Data,Analyst
65,2022-12-31,Data Analyst BO/Qlick Sense (h/f),"support, sql, data management, business objects, t-sql",maisons-alfort,45000.0,50000.0,CDD/Intérim,fed it,Data analyst,Data,Analyst
66,2022-12-18,Product Data Analyst - BI - H/F,"cloud, paas, qlik, iaas, support",paris,,,CDI,cegid,Data analyst,Data,Analyst
67,2022-12-16,Data Analyst / Chef de Projet BI (h/f),"data management, business intelligence, bases de données",paris,60000.0,62000.0,CDI,fed it,Data analyst,Data,Managment
68,2023-01-14,Business analyst senior DATA CRM - Paris H/F,"crm, agile, decisionnel, réseau, réseau",paris,,,CDI,credit agricole,Data analyst,Data,Analyst
69,2023-01-02,Data scientist / Analyst and software development F/H,"big data, scrum, intelligence artificielle, electronique, maintenance",rueil-malmaison,,,Stage,vinci,Data analyst,Data,Analyst
70,2023-01-02,Data Analyst (H/F) – Mobile Gaming - Gaminho,"mobile, marketing, outils, t-sql, sql",paris,,,CDI,paris&co,Data analyst,Data,Analyst
71,2023-01-01,Responsable Analyses et Data Relation Clients Assurances Dommages-(H/F),"sas, téléphonie, serveur, communication",la-defense,,,CDI,societe generale,Data analyst,Data,Managment
72,2023-01-12,DATA INGENIEUR F/H,"digital, outils, cloud, webmarketing, marketing",suresnes,,,CDI,fyte,Data ingenier,Data,Ingénieur
73,2023-01-01,Alternant - Data Analyst - statistiques prédictiveset connaissance client (H/F),"outils, marketing, digital, machine learning, python",saint-ouen,,,CDI,engie,Data analyst,Data,Analyst
74,2022-12-18,Data Scientist - CDI,"marketing, data management, support",rueil-malmaison,60000.0,65000.0,CDI,fed it,Data scientist,Data,Scientist
75,2023-01-06,Ingénieur MCO CyberSOC F/H,"sécurité, securité, si, réseau, outils",puteaux,,,CDI,i-tracing,Cyber,Net,Ingénieur
76,2023-01-13,Consultant Data h/f,"big data, oracle, cloud, sap, python",paris,60000.0,70000.0,CDI,selescope,Data consultant,Data,Expert
77,2023-01-13,DATA ENGINEER BIG DATA - H/F,"big data, python, support, intelligence artificielle, hadoop",paris,,,CDI,banque de france,Big Data,Data,Ingénieur
78,2023-01-01,DATA QUALITY MANAGER-(H/F),"data quality, marketing",fontenay-sous-bois,,,CDI,societe generale,Data manager,Data,Managment
79,2023-01-10,Chef de projets data - analytics H/F,"marketing, outils, digital, ux, mobile",gennevilliers,60000.0,70000.0,CDI,hays france,Data analyst,Data,Managment
80,2023-01-06,Ingénieur Sécurité Cloud F/H,"securité, sécurité, cloud, si, iaas",puteaux,,,CDI,i-tracing,Cyber cloud,Net,Ingénieur
81,2023-01-14,CONTRÔLEUR DATA QUALITY - H/F,"data quality, sas, système, méthodologie, support",paris,,,CDI,banque de france,Data controler,Data,Technicien
82,2022-12-24,FULL STACK WEB DATA VIZ-(H/F),"web, javascript, open source, d3, angularjs",fontenay-sous-bois,,,CDI,societe generale,Data viz,Data,Autre
83,2023-01-06,Architecte Sécurité Cloud F/H,"securité, sécurité, cloud, si, iaas",puteaux,,,CDI,i-tracing,Cyber cloud,Net,Architecte
84,2022-12-22,Developpeur Junior (H/F),"si, web, infrastructure, cloud, salesforce",levallois-perret,,,CDI,edifixio,Developpement logiciel,Génie informatique,Développeur
85,2022-12-22,Consultant technico - fonctionnel Salesforce H/F,"si, cloud, salesforce, web, infrastructure",levallois-perret,,,CDI,edifixio,Commercial,Support,Expert
86,2023-01-11,Chef de projet informatique fonctionnel BI,"t-sql, recette, sql, database, maintenance",tilly,,,CDI,chronopost,Business intelligence,Business,Managment
87,2023-01-09,Apprenti(e) – Assistant(e) décisionnel Business Intelligence/Big Data H/F,"big data, decisionnel, système, support, business intelligence",tremblay-en-france,,,Contrat d'apprentissage,air france,Big Data,Data,Stage/Alternance/Apprenti
88,2023-01-13,2018-788 - Stage - Data et Monétisation H/F,"digital, support, sql, outils, marketing",neuilly-sur-seine,,,CDI,m6,Data other,Data,Stage/Alternance/Apprenti
89,2022-12-22,Développeur Full Stack (H/F),"si, web, salesforce, infrastructure, html5",île-de-france,,,CDI,edifixio,Developpement full stack,Génie informatique,Développeur
