,Date de publication,Intitulé du poste,Compétences,Lieu,Salaire minimum,Salaire maximum,Type de contrat,Nom de la société,Poste,Poste_class,Niveau
172,2023-01-02,Consultant Avant-Vente Sauvegarde F/H,"cloud, unix, aix, ux, support",île-de-france,,,CDI,vinci,Commercial,Support,Expert
173,2023-01-14,CHEF DE PROJETS IT DIGITAUX F/H,"marketing, optimisation, c, exchange, digital",paris,,,CDI,cdiscount,Chef de projets,Support,Managment
174,2023-01-12,Ingénieur Système Unix/Linux H/F,"linux, unix, système, infrastructure, support",paris,38000.0,55000.0,CDI,uniware global services,Developpement logiciel,Génie informatique,Ingénieur
175,2022-12-29,Ingénieur développement logiciel embarqué H/F,"test, linux, windows, sécurité, securité",île-de-france,,,CDI,safran,Developpement logiciel,Génie informatique,Ingénieur
176,2022-12-16,Ingénieur Support Applicatif F/H,"digital, support, devops, web, android",paris,,,CDI,kisio,Developpement application,Génie informatique,Ingénieur
177,2022-12-24,Correspondant(e) à la Protection des Données personnelles-(H/F),"communication, outils, digital",la-defense,,,CDI,societe generale,DPO,Data,Autre
178,2023-01-09,Apprenti(e) – Business Analyst AMOA (Information Management Office - IMO) H/F,"marketing, digital, agile, outils, database",paris,,,Contrat d'apprentissage,air france,Business analyst,Business,Analyst
179,2022-12-29,Ingénieur Traitements de données H/F,"outils, qt, c++, linux, windows",île-de-france,,,CDI,safran,Data ingenier,Data,Ingénieur
180,2022-12-16,"Responsable Technique Web - Poste en interne (client final réputé) - Projet de transformation –Grand Groupe, Paris, CDI 65-70 k€","web, spring, si, sécurité, digital",paris,65000.0,70000.0,CDI,mr search,Developpement web,Génie informatique,Managment
181,2023-01-01,Ingénieur Logiciel - JAVA H/F,"java, support, outils, c++, système",bagneux,,,CDI,naval,Developpement logiciel,Génie informatique,Ingénieur
182,2022-12-18,Alternance - Datascientist junior - H/F,"réseau, machine learning, outils, sas, big data",nanterre,,,Contrat de professionnalisation,edf france,Data scientist,Data,Scientist
183,2022-12-25,Ingénieur Etudes et Développement BI (stagiaire) F/H,"java, outils, decisionnel, t-sql, sql",saint-germain-en-laye,,,Stage,trimane,Business intelligence,Business,Ingénieur
184,2023-01-02,Analyste fonctionnel SAP SD F/H,"sap, communication, outils, business intelligence, système",île-de-france,,,CDI,vinci,Business analyst,Business,Analyst
185,2023-01-09,Assistant(e) comptable-(H/F),,fontenay-sous-bois,,,CDI,societe generale,Other,Other,Autre
186,2023-01-05,Spécialiste Modélisation Dynamique de la performance Atelier Montage H/F,"outils, système",vélizy-villacoublay,,,CDI,psa,Other,Other,Expert
187,2022-12-29,Référent(e) Conformité Regulatory Expertise Oversight / Responsable Data Protection et Digital-(H/F),"digital, communication, support, réseau",la-defense,,,CDI,societe generale,DPO,Data,Expert
188,2022-12-18,Ingénieur d'affaires IT Grands Comptes Paris H/F,"iaas, paas, saas, système, progiciel",paris,,,CDI,cegid,Commercial,Support,Ingénieur
189,2022-12-29,Stage Tableau de bord 'data centric' pour le pilotage activités de vérification H/F,"test, support",île-de-france,,,Stage,safran,Data viz,Data,Stage/Alternance/Apprenti
190,2023-01-07,Ingénieur Cyber-sécurité produit H/F,"sécurité, securité, c++, réseau, validation",île-de-france,,,CDI,safran,Cyber,Net,Ingénieur
191,2023-01-01,ALTERNANT - Concepteur logiciel H/F,"java, système, serveur, outils, uml",bagneux,,,CDI,naval,Developpement logiciel,Génie informatique,Ingénieur
192,2022-12-26,Chef de projet recette H/F,"recette, outils, e-commerce, support",île-de-france,,,CDI,printemps,Chef de projets,Support,Managment
193,2022-12-26,Chef de Projets Recette H/F,"recette, e-commerce, outils, marketing, support",paris,,,CDI,printemps,Chef de projets,Support,Managment
194,2023-01-01,ALTERNANCE - Concepteur logiciel H/F,"java, système",bagneux,,,CDI,naval,Developpement logiciel,Génie informatique,Ingénieur
195,2023-01-14,Equity Pricing Library Project Manager (H/F),"support, outils, progiciel, si, sécurité",île-de-france,,,CDI,natixis,Other,Other,Managment
196,2023-01-02,Ingénieur Avant-Vente F/H,"communication, agile, si, réseau, securité",nanterre,,,CDI,vinci,Commercial,Support,Ingénieur
197,2023-01-02,Technicien Informatique – Centre de Support F/H,"support, sap, windows, communication, itil",saint-denis,,,CDI,vinci,Technicien informatique,Génie informatique,Technicien
198,2023-01-05,Alternance - Assistant Knowledge User Experience-(H/F),"outils, design, si, marketing, illustrator",la-defense,,,CDI,societe generale,Other,Other,Stage/Alternance/Apprenti
199,2023-01-01,Concepteur logiciel H/F,"c++, c, java, système, support",bagneux,,,CDI,naval,Developpement logiciel,Génie informatique,Ingénieur
200,2023-01-13,Alternance - Chargé de Sécurité et Risque Opérationnel Infrastructure IT Reseau-(H/F),"sécurité, securité, réseau, infrastructure, firewall",fontenay-sous-bois,,,CDI,societe generale,Cyber,Net,Stage/Alternance/Apprenti
201,2022-12-24,Référent Applicatif - Expert ICM (H/F),"support, recette, sql, maintenance, outils",île-de-france,,,CDI,natixis,Developpement application,Génie informatique,Expert
202,2022-12-30,DEVELOPPEUR AGILE-(H/F),"agile, sql, support, python, bootstrap",courbevoie,,,CDI,societe generale,Developpement agile,Génie informatique,Développeur
203,2022-12-24,TECHNICAL LEADER H/F-(H/F),"agile, sql, support, python, bootstrap",fontenay-sous-bois,,,CDI,societe generale,Other,Other,Technicien
204,2022-12-25,AUDITEUR INTERNE - FILIERE RISQUES-(H/F),"sécurité, securité, communication, méthodologie",la-defense,,,CDI,societe generale,Auditeur/Expert,Support,Expert
205,2023-01-14,Internship: Root Cause Analysis in complex distributed systems (H/F),"cloud, réseau, système, infrastructure, c++",nozay,,,CDI,nokia,Other,Other,Autre
206,2023-01-02,DEVELOPPEUR AGILE-(H/F),"agile, sql, support, python, bootstrap",la-defense,,,CDI,societe generale,Developpement agile,Génie informatique,Développeur
207,2022-12-24,DEVELOPPEUR AGILE-(H/F),"agile, sql, support, python, bootstrap",la-defense,,,CDI,societe generale,Developpement agile,Génie informatique,Développeur
208,2022-12-16,Ingénieur Systèmes Windows H/F,"système, windows, microsoft, cloud, maintenance",nanterre,45000.0,55000.0,CDI,experteam,Developpement logiciel,Génie informatique,Ingénieur
209,2022-12-24,Lead Developer – Expert Java Full Stack (H/F),"java, soa, json, si, git",île-de-france,,,CDI,natixis,Developpement full stack,Génie informatique,Expert
210,2023-01-01,ALTERNANCE - Concepteur logiciel H/F,"système, uml, outils, java, xml",bagneux,,,CDI,naval,Developpement logiciel,Génie informatique,Ingénieur
211,2022-12-24,Concepteur Développeur (H/F),"outils, .net, vba, c#, windows",île-de-france,,,CDI,natixis,Developpement logiciel,Génie informatique,Ingénieur
212,2022-12-24,Architecte Technique-(H/F),"si, securité, sécurité, big data, cloud",fontenay-sous-bois,,,CDI,societe generale,Chef de projets,Support,Architecte
213,2022-12-25,Alternance - Chargé d'Etudes et Développement Informatique Java - Bigdata-(H/F),"si, java, support, big data, agile",fontenay-sous-bois,,,CDI,societe generale,Big Data,Data,Stage/Alternance/Apprenti
214,2022-12-23,Consultant MSBI (H/F),"sap, si, moa, informatica, maintenance",nanterre,,,CDD/Intérim,aladium,Business intelligence,Business,Expert
215,2023-01-01,Architecte Cybersécurité H/F,"securité, sécurité, système, réseau",bagneux,,,CDI,naval,Cyber,Net,Architecte
216,2022-12-24,Stage - Développeur / Software Craftsmanship-(H/F),"outils, web, si, sql, sql server",la-defense,,,CDI,societe generale,Developpement logiciel,Génie informatique,Développeur
217,2023-01-01,ALTERNANCE - Concepteur logiciel H/F,"c++, java, système, c, test",bagneux,,,CDI,naval,Developpement logiciel,Génie informatique,Ingénieur
218,2023-01-01,Architecte logiciel H/F,"système, support, validation, securité, outils",bagneux,,,CDI,naval,Developpement logiciel,Génie informatique,Architecte
219,2023-01-12,Expert Infrastructures-(H/F),"sécurité, si, support, securité, réseau",fontenay-sous-bois,,,CDI,societe generale,Infrastructures,Net,Expert
220,2022-12-29,Expert Infrastructures Scheduling-(H/F),"python, support, shell, sécurité, linux",la-defense,,,CDI,societe generale,Infrastructures,Net,Expert
221,2022-12-29,Référent Applicatif Business Intelligence Bi4 H/F,"sap, outils, système, si, business intelligence",île-de-france,,,CDI,safran,Business intelligence,Business,Managment
222,2023-01-01,Concepteur logiciel H/F,"système, outils, sécurité, support, securité",bagneux,,,CDI,naval,Developpement logiciel,Génie informatique,Ingénieur
223,2023-01-14,Responsable de l’Architecture & Interopérabilité - H/F,"outils, si, sécurité, support, securité",paris,,,CDI,ramsay,Business intelligence,Business,Managment
224,2023-01-02,Chef de projet Senior Risque de Crédit (H/F),"réseau, securité, blockchain, sécurité, big data",île-de-france,,,CDI,natixis,Chef de projets,Support,Managment
225,2022-12-19,SAP Fiori Developer (H/F),"sap, abap, progiciel, système, support",saint-ouen,,,CDI,engie,Business intelligence,Business,Développeur
226,2023-01-12,ENGIE Digital - Architecte Données (H/F),"digital, outils, securité, sécurité, t-sql",paris,,,CDI,engie,Data architecte,Data,Architecte
227,2023-01-14,Quality Assurance - Lead QA - Lead Acceptance H/F,"test, serveur, jquery, mobile, tdd",boulogne-billancourt,,,CDI,francaise des jeux,Responsable qualité,Support,Autre
228,2022-12-30,DATA SCIENTIST,"nosql, unix, java, machine learning, linux",neuilly-sur-seine,38000.0,50000.0,CDI,beezen,Data scientist,Data,Scientist
229,2023-01-12,Datascientist (H/F),"big data, support, python, réseau, securité",saint-ouen,,,CDI,engie,Data scientist,Data,Scientist
